,id,free_text,label_id
9813,train_ssxavriypd,thuỷ ngọc vl,0
19365,train_vdjktpufwz,mờ quá không xem rõ,0
16826,train_tckdvhitwv,ngô xuân quang vậy là tốn thêm điện thời_gian cho cục pin dự_phòng,0
14813,train_iconrweatc,hàng về thêm nhiều mẫu đẹp dã_man update ảnh sau mời ae qua tận nơi trước nhé đặng_trung đức is feeling fantastic at hàng_hiệu authentic photos from đặng_trung đức post,0
17360,train_qsmhtzhcwa,chu thị giang chín sáu chào mọi người đập nát shop xả nhanh tay nào,0
1350,train_stkpzqbrhw,ai yêu anh mình không hán việt kiên nguyễn_minh tiến hiếu nguyễndinh duy_hung,0
14172,train_arraktwtad,lợi thì được lợi nhưng răng không còn thằng chó ngu,2
4495,train_jwiscfjnts,đáng sợ vl,0
15853,train_fmurdpgrvc,tuấn anh epu cán_bộ sướng vl,0
9654,train_ncioxfmkzh,công_ty tnhh công_nghiệp bellinturf việt_nam chuyến sản_xuất cỏ nhân tạotrân trọng thông_báo do nhu_cầu mở_rộng sản_xuất công_ty cần tuyển thêm một_số vị trícác bạn có nhu_cầu xin vui_lòng liên_hệ địa_chỉ kcn long giang_tân lập tân_phước tiền_giang sđt  email aaa gmailcomthân,0
16722,train_numrqiydpr,sau tat ca minh phai tôn tai cam on nhung nguoi ae tô mui nguyen is feeling thankful,0
14926,train_zzblolggjm,ngọt hết_sức ngọt_hà,0
5967,train_sndbkigauz,tao hiểu cảm_giác này vl,0
3464,train_kbtoeosyif,dcm tao ko bít trả báo hay ko mà nghe cái miệng lồn của mày nói là tao muốn chửi rồi con mặt lồn bị bệnh còn đổ thừa tại ngta mổ xao ko đổ thừa tại con_mẹ mày sinh ra đứa ngu như mày hả con chó chết,2
2897,train_hmbhbypxdy,về lại em xinh_tươi giá huynh nhu tran added new photos photos from huynh nhu tran post,0
8743,train_mhnzwzipps,tuyển thợ chuyên gội massage lương cứng tr bill tip nguyễn_thị thập gần hoàng_đạo thuý,0
7123,train_uwpphfxxtz,đây chính là nguyên_nhân bạn bị ngứa_ngáy quần chip suốt ngày ẩm_ướt bốc mùi hôi_tanh thả mãi có con chứ đâu ib để chấm_dứt tình_trạng trên nhé photos from hạnh đặng_post,0
8662,train_zbvmocnxet,há há khoẻ vl,0
7894,train_wateitgucx,lại tha_hồ vơ_vét nhét đầy túi ôi cộng_sản,2
1692,train_sghcceaart,sua ongtho ngáo vkl,0
9117,train_kilcolzxxt,hazzzz ức vl,0
2239,train_iswcdkjfqf,hoàng hằng con dc bn ui,0
8476,train_fhewajiauy,hm nao tao cung phai di lam som tu ngu de chet xl,0
16280,train_gkmgissufx,bán hàng ko lợi_nhuận đây chỉ đôi áo xin nhắc lại là áo gom áo_phông nữ quảng châu cực xinh giá chỉ bằng ly trà sữa thôi ce hè này cứ sắm mấy áo này mặc vừa mát vừa năng_động kiểu_dáng đơn_giản dễ mặc kén dáng mix với gì cũng hợp luôn bảng size tham_khảo dươ kgl kg xl kgxl kgxlkgod nhắc lại giá chỉ đôiem bao giá fb lun và đảm_bảo ko đâu có giá nàyhàng od photos from đồ gia_dụng post,0
18058,train_jkzsbsrmql,bánh rồi khổ_qua kiếp doc thân,0
15548,train_wikytrkdhc,nghỉ_hè rồi còn gì my nguyễn thèm một_tí hơi men,0
19196,train_jokeujtiml,đèn laze đây mà,0
4747,train_jzvhmkelox,khi bạn nổi_tiếng bạn nói gì cũng là chân_lí,0
7231,train_pxkkgcpjxt,ngọc lynh đã ngu còn to_mồm cho ng ta biết mình ngu,2
17490,train_pwtvbselna,nguyễn_trường inoxgaming fb đinh văn đoànkéo rank bk kc free nè mấy má ơi anh_em nhớ ấn đăng_ký kênh youtube ủng_hộ nhé theo dõichia sẻ giúp mình nha anh_em có sao free thì ném vào mẹt mình nhatương tác nhiều hơn với fanpage để nhận huy_hiệu fan cứng dsao free sẽ về nhiều hơn khi bạn tương_tác nhiều hơn xem livestream bằng thiết_bị trình_duyệt sạchnhớ bật thông_báo ưu_tiên để không bỏ lỡ stream nha các bẹn web shop acc lq giá rẻ web shop gear nb fanpage facebook donate lqmb aov garenalqmb inoxgaming,0
3621,train_deslkhjvwr,tít house hải thảo shared live video toàn trưa buồn ko ko biết làm gì vào nhận gấu bông nào bà_con cô_bác chú dì thím mợ ơitham gia mini gamecs lần hội_nhóm lần công_khai trang cá_nhân nhé shop thú bông gia khải nguyễn_văn cừ an hoà ninh_kiều tp cần thơđt zalo đt zalo đt zalo,0
10835,train_rxaqkdfuek,phan kim oanh sợ vl kkk,0
4146,train_oftnhanahn,đê cho mi nh luôn di,0
8786,train_dvmwvykcnw,nhớ nhà hà nhài is feeling nostalgic,0
3109,train_jewatfpbxx,châu huyndai dũng lạc shared post to the group chợ diễn_châu online hyundai vinh diễn_châu trời mùa hè mà khác gì thời_tiết vào thu trời đẹp quá nên hôm_nay bên em giao xe quá_trời luôn pass em chỉ là người bán xe nên suốt ngày khoe xe đẹp liên_hệ em để có xe đẹp nhé mrschâu,0
3716,train_blsuehvexq,quý ngọc tính_cách của một người kèm theo hành_động,0
11333,train_npjymbmguo,nguyễn_phúc tân_đcm vừa ấn,1
16101,train_qpbffkmsyo,ace nào có xác điện_thoại đời cao hỏng vỡ ko muốn đi sữa nữa bán lại mua nhá mua tận nơi tại khu_vực đà_nẵng giá cao mua điện_thoại rơi vỡ đập bể mất nguồn mua điện_thoại nứt kính hỏng màn_hình mua điện_thoại rơi nước khoá icloud vvcác loại iphone opposam sung huaweixiaomi vivo ib tin nhắn fb cho nhé,0
6677,train_ojteorsevo,tân_hoa_hậu quận buồn_cười vl,0
8694,train_dqcsffkpzt,tu luc cr nghi la da khong co cam xuc khi di,0
5961,train_efvucbhdov,nguyễn_hồng ánh hộ_sinh ngô_quyền chăm_sóc sức_khoẻ sinh_sản trọn bộ bí kíp hiểu về bé tháng tuổi cả nhà click vào từng hình để xem nội_dung chi_tiết nha,0
16230,train_kprfpgsook,tiếp đến là iphone opposam sung nha quý zị đầy_đủ các dòng và mẫu_mã iphone ip đến xmaxx oppo fs fplus as samsung note note splus spluss nhận sỉ lẻ toàn_quốc nhé opxinh giatot iphone oppo samsung đỗ hà thương added new photos photos from đỗ hà thương post,0
13974,train_ouhbrmvsmy,thì mày có khác gì tao đéo đâu,1
15828,train_gkpudwirdc,đức tài bùi_đang chờ đây,0
4393,train_hefyoyximx,giông tao luc nhỏ vl,0
13095,train_wbfrmjfdxf,cảm_ơn người anh_hùng tôi rất ủng_hộ hành_động này,0
6525,train_tlknrgrpcl,lê_ngọc đức nho mỹ đó nhì sai rồi,0
4936,train_cpobttrgho,xe minh đâu nhi,0
19424,train_lrnlsahuui,má ơi balenciaga new chất đẹp mộg mơ dày mịnnnnnnn photos from linh nga post,0
18840,train_abdpnrsbtk,cuộc_sống luôn đổi_thay từng ngày từng giờ không ai trong chúng_ta có_thể thay_đổi được điều ấy nhưng có một điều chúng_ta có_thể làm được đó là lựa_chọn cách sống cho chính bản_thân mình,0
8772,train_hrfpsvaphc,phương trang phương hàng có sẵn min minn kids chả cá hotline zalo  bán_buôn bán_lẻ tuyển ctv,0
7818,train_qdvrzedmfu,amy phạm true vl,0
1456,train_xntqfhtcgt,nguyen hoaion đánh trước mà nói trước thua tao là tao chửi mày,0
17759,train_qaysrhbmya,hoàng long nguyễn_đm phim nhạt_nhẽo vl,1
19363,train_utenqwjjsw,ngày ấy anh tặng em nhành hoa dại,0
10893,train_vnyowryrla,tin ngân_hàng shared link ngân_hàng rao bán xe sang đất nội_thành để siết nợ tin_tức ngân_hàng videongân hàng rao bán xe sang đất nội_thành để siết nợ theo tinnganhang nhiều nhà_băng đang muốn thu_hồi những khoản nợ quá hạn được đảm_bảo bằng chung_cư cao_cấp đất nền xe sang công_ty quản_lý tài_sản của ngân_hà,0
7364,train_jnuyyiwchn,sáng sớm đang ngủ khách gọi đien thoại chốt combo nhanh như cơn gió mọi thắc_mắc liên_hệ  combosapa combogiare hanoisapa xelimousine bookinghotel homestaysapa,0
19290,train_vkbqfwsfny,trần phong ui đứa vẫn nói_chuyện với nhau,0
17643,train_vtswwlojxs,duy_tân shared post to the group chợ tốt hà_tĩnh duy ống cạo vỏ mía bên em từ trẻ nhỏ đến người già mía thẳng mía cong đều cạo được nha cả nhà dễ_dàng lắp_đặt dễ_dàng sử_dụng nhẹ_nhàng không mất_sức cạo nhanh gấp lần cạo tay cạo được tất_cả các loại mía to_nhỏ cong thẳng ship cod toàn_quốc nhận hàng thanh_toán tiền,0
17977,train_dnqrrfbvgj,một tấm lòng nhân_hậu,0
6900,train_ihnuvvfcbq,thanh suri gọi điện trước bên mình sẽ báo thời_gian pv nha,0
2026,train_htbdcopiki,nguyễn_thị khả linh kaki nha hàng quảng châu nha,0
4842,train_tutagkzqwj,mệt phạm thị ngọc_bích is feeling drained,0
1328,train_oywmsltxfn,vậy hả ta ngang hoài mà hỏng có biết bệnh_viện miễn_phí trong sân chùa gần năm qua chùa vạn_thọ số đường_hoàng sa quận tp hồ_chí_minh được người_dân ví_như bệnh_viện miễn_phí là nơi chữa bệnh cho mọi người không phân_biệt giàu nghèo,0
